Genre,Description,URL
Jazz,"Le jazz est un genre musical originaire du Sud des États-Unis, créé à la fin du XIXe siècle et au début du XXe siècle au sein des communautés afro-américaines. Avec plus de cent ans d'existence, du ragtime au jazz actuel, il recouvre de nombreux sous-genres marqués par un héritage de la musique euro-américaine et afro-américaine, et conçus pour être joués en public[1]. Il émerge à partir d'autres genres musicaux, dont le ragtime, la marche, le negro spiritual et le blues, et comporte des caractéristiques telles que l'utilisation fréquente de l'improvisation, de la polyrythmie, de la syncope, du shuffle, du scat et des notes bleues[2]. En route, il emprunte de nombreux éléments à la musique populaire américaine (en) et à la tradition des brass bands[3]. Couramment associé aux cinq instruments emblématiques du jazz — le saxophone, la trompette, le trombone, la clarinette et le piano —, le jazz mobilise cependant un grand nombre d'instruments différents, dont la guitare, la batterie, et la contrebasse.
",https://fr.wikipedia.org/wiki/Jazz
Musique classique,"La musique classique désigne, pour le grand public, l'ensemble de la musique occidentale appelée « savante » par distinction avec la musique populaire, à partir de la musique médiévale et jusqu'à nos jours.
",https://fr.wikipedia.org/wiki/Musique_classique
Musique country,"La musique country est un mélange de musiques traditionnelles développé principalement dans le sud-est des États-Unis et dans les provinces maritimes du Canada, mais aussi en Europe comme en Irlande ou dans le nord des Pays-Bas. La country a évolué rapidement dans les années 1920[1] et reste très populaire aujourd'hui. Différentes variations du genre ont aussi émergé dans d'autres pays comme en Australie.
",https://fr.wikipedia.org/wiki/Musique_country
Musique électronique,"La musique électronique est un type de musique conçu dans les années 1950 avec des générateurs de signaux et de sons synthétiques. Avant de pouvoir être utilisée en temps réel, elle a été enregistrée sur bande magnétique, ce qui permettait aux compositeurs de manier aisément les sons, par exemple dans l'utilisation de boucles répétitives superposées. Ses précurseurs ont pu bénéficier de studios spécialement équipés ou faisaient partie d'institutions musicales préexistantes. La musique pour bande de Pierre Schaeffer, également appelée musique concrète, se distingue de ce type de musique dans la mesure où sa conception n'est pas basée sur l'utilisation d'un matériau précis mais l'inversion de la démarche de composition qui part des sons et non de la structure. La particularité de la musique électronique de l'époque est de n'utiliser que des sons générés par des appareils électroniques.
",https://fr.wikipedia.org/wiki/Musique_%C3%A9lectronique
Musique expérimentale,"La musique expérimentale regroupe des musiques qui se caractérisent par l'exploration de nouveaux moyens techniques et artistiques souvent en dehors des conventions et des normes admises dans les musiques traditionnelles occidentales. Mais le terme est cependant sujet à confusion car selon le sens, large ou restreint, prêté, il ne désigne pas les mêmes catégories de musiques.
",https://fr.wikipedia.org/wiki/Musique_exp%C3%A9rimentale
Musique folk,"La musique folk regroupe une variété de genres musicaux ayant émergé au début du XXe siècle, associés à la musique traditionnelle.
",https://fr.wikipedia.org/wiki/Musique_folk
Musique instrumentale,"La musique instrumentale caractérise toute musique exclusivement destinée à des instruments. Ce concept s'oppose donc à celui de musique vocale, ceci à cause du traitement particulier habituellement réservé à la voix.
",https://fr.wikipedia.org/wiki/Musique_instrumentale
Musique latine,"La musique latine (ou latino) ne désigne pas un genre musical sui generis, mais plutôt un style de musique qui englobe différents rythmes et musiques d'Amérique latine. 
",https://fr.wikipedia.org/wiki/Musique_latine
Musique soul,"La musique soul, ou simplement soul, est une musique populaire afro-américaine apparue à la fin des années 1950 aux États-Unis et dérivée, entre autres, à la fois du gospel et du rhythm and blues. Elle est considérée par certains comme un retour du rhythm and blues aux racines dont il est issu : le gospel (musique d'église).
",https://fr.wikipedia.org/wiki/Musique_soul
Musiques du monde,"L’expression musiques du monde (correspondant à world music, folk music ou ethnic music en anglais, weltmusik en allemand, suono mondiale en italien) est un terme générique qui couvre les musiques qui ne font pas partie des principaux courants occidentaux contemporains que sont la pop, le rock, la musique classique, le jazz, le rap et la musique électronique, et qui contiennent des composantes ethniques ou traditionnelles[1]. Par exemple, la musique bretonne et la musique basque sont des musiques traditionnelles des régions françaises.
",https://fr.wikipedia.org/wiki/Musiques_du_monde
New age,"La new age (littéralement « nouvel âge ») est un genre musical souvent associé à l'environnementalisme et à la spiritualité New Age qui véhicule une ambiance relaxante et plutôt optimiste. La musique new age, dont certains morceaux sont spécifiquement conçus par leurs auteurs pour la relaxation, afin d'évacuer le stress[1], est souvent jouée lors de séances de yoga, de massage, de méditation[2],[3], diffusant ainsi une atmosphère apaisante. Les harmonies qui caractérisent la new age impliquent généralement une basse bourdon et varient selon les thèmes qui leur sont associés. La musique contient souvent des bruits issus de la nature, parfois utilisés en guise d'introduction d'un morceau ou pendant un passage. 
",https://fr.wikipedia.org/wiki/New_age_(musique)
Pop,"La musique pop (ou simplement la pop) est un genre musical parlent généralement de l'amour ou des relations amoureuses. Apparu dans les années 1960 au Royaume-Uni et aux États-Unis, il se concentre sur l'idée d'accessibilité, en mettant l'accent sur des mélodies accrocheuses, entraînantes, et en prenant souvent la forme de morceaux courts aux rythmes associés à la danse[1]. La musique pop fut beaucoup influencée par l'apparition de l'enregistrement à pistes multiples (vers la fin des années 1960) et du synthétiseur (durant les années 1970 et 1980).
",https://fr.wikipedia.org/wiki/Pop_(musique)
Rap,"Le rap est un mouvement culturel et musical (musique populaire) qui tire ses origines du hip-hop. Apparu au début des années 1970 dans les ghettos américains, le rap se caractérise par une diction très rythmée et l’usage de la rime[1]. C'est à la base un moyen d'expression pour revendiquer une certaine manière de vivre à cette époque, le rap prenant un caractère social important quand il souligne les injustices de la société ou un caractère plus égotrip souvent aussi. À partir des années 1980, le rap commence à s'exporter à l'étranger, en France, Allemagne, Royaume-Uni, Japon, Corée, Sénégal, Afrique du Sud, URSS (puis Russie) et même en Chine[2]. Le rap se répand dans le monde entier et se propage, devenant l'un des premiers courants artistiques avec des représentants sur chaque continent.
",https://fr.wikipedia.org/wiki/Rap
Reggae,"Le reggae est un genre musical issu du ska et du rocksteady[2] qui a émergé à la fin des années 1960 en Jamaïque où il est l'une des expressions musicales les plus populaires. Le nom de cette musique est issu du titre d'une chanson de Toots and the Maytals intitulée Do the Reggay (1967). Le reggae devient mondialement connu dans les années 1970, dans le sillage du succès de Bob Marley[3], et s'impose comme un style musical porteur d'une culture qui lui est propre.
",https://fr.wikipedia.org/wiki/Reggae
RnB contemporain,"Le RnB contemporain (Contemporary R&B) — aussi abrégé en R'n'B, R&B ou simplement RnB[1] [ɑɹɛnbiː][2] — est un genre musical qui mélange des éléments de rhythm and blues, dont il est principalement issu, de hip-hop, de soul, de pop et de funk. Lancé durant  les années 1980 aux États-Unis, il prend de l'ampleur pendant les années 1990 jusqu'à devenir prédominant lors des années 2000.
",https://fr.wikipedia.org/wiki/RnB_contemporain
Rock,"Le rock est un genre musical apparu dans les années 1950 aux États-Unis et qui s'est développé en différents sous-genres à partir des années 1960, notamment aux États-Unis et au Royaume-Uni[1]. 
",https://fr.wikipedia.org/wiki/Rock
Tekno,"La musique tekno, également connue sous le nom de freetekno[1] et parfois assimilée à la hardtek, même si ce point fait débat, est un genre musical issu de la techno qui est principalement joué lors des free parties en Europe.
",https://fr.wikipedia.org/wiki/Tekno
Acid blues,"L’acid blues est un genre musical qui mélange le rock, la soul, le funk, le jazz et le blues. Ce style est sans doute apparu à Seattle, aux États-Unis au début du XXIe siècle et il s'inspire de nombreux mouvements musicaux plus anciens, principalement le blues rock et l'acid jazz avec des artistes comme Jimi Hendrix.
",https://fr.wikipedia.org/wiki/Acid_blues
Acid breaks,"L'acid breaks est un genre de musique électronique dérivé du breakbeat. Il se caractérise par le son acid typique du synthétiseur Roland TB-303, et les motifs rythmiques du breakbeat, notamment l'absence de la ligne de basse caractéristique de la techno.
",https://fr.wikipedia.org/wiki/Acid_breaks
Acid house,"L'acid house est un genre de musique électronique dérivé de la house, ayant émergé aux alentours des années 1980 à Chicago, aux États-Unis. Il se caractérise par une basse analogique créée par un synthétiseur-séquenceur Roland TB-303. L'acid house se répand au Royaume-Uni et en Europe dans les rave parties. Fin des années 1980, l'acid house se développe dans la scène musicale britannique, où elle sera influencée par les directions pop et dance. Des éléments sonores acid house ont été ajoutés à d'autres styles musicaux comme la trance[2], la trance goa, la trance psychédélique, le breakbeat, le big beat, et la techno[3].
",https://fr.wikipedia.org/wiki/Acid_house
Acid jazz,"L'acid jazz, ou club jazz, est un genre musical mêlant éléments de jazz, de soul, de funk et de disco. L'acid jazz est lancé dans la scène club de Londres au milieu des années 1980 dans le mouvement rare groove et s'est depuis élargi jusqu'aux États-Unis, au Japon, en Europe de l'Est et au Brésil. Des groupes importants du genre incluent Brand New Heavies, Incognito, Us3 et Jamiroquai originaires du Royaume-Uni, et  Buckshot LeFonque originaire des États-Unis. La montée de la musique électronique club au milieu et à la fin des années 1990 mène au déclin du mouvement. Certains groupes autrefois identifiés acid jazz sont désormais catégorisés sous les noms de jazz-funk, de neo soul ou de jazz rap.
",https://fr.wikipedia.org/wiki/Acid_jazz
Acid rock,"L'acid rock est un genre de rock psychédélique caractérisé par l'improvisation, de longs solos instrumentaux et peu de paroles (voire aucune). 
",https://fr.wikipedia.org/wiki/Acid_rock
Acid techno,"L'acid techno est un genre de musique électronique, variante de la techno et dérivé de l'acid house et de la New beat, à qui il emprunte le son caractéristique produit par le synthétiseur Roland TB-303.
",https://fr.wikipedia.org/wiki/Acid_techno
Acid trance,"L'acid trance est un genre de musique électronique ayant émergé au tout début des années 1990.
",https://fr.wikipedia.org/wiki/Acid_trance
Acidcore,"L'acidcore est un genre de musique électronique, dérivé de l'acid techno, du gabber et du darkcore, ayant émergé au milieu des années 1990 en Belgique et aux Pays-Bas.
",https://fr.wikipedia.org/wiki/Acidcore
Adult contemporary,"L'adult contemporary (AC) est un style musical, variant entre musiques vocales des années 1960, soft rock des années 1970[2] et ballades actuelles, caractérisé par des éléments d'easy listening, de soul, de rhythm and blues, et de rock[3],[4],[5]. L'adult contemporary est une continuité d'easy listening et du soft rock popularisé dans les années 1960 et 1970 caractérisée par quelques ajustements reflétant l'évolution de la musique pop/rock[6].
",https://fr.wikipedia.org/wiki/Adult_contemporary
Afrobeat,"L'afrobeat est un genre musical issu d'un mélange de musique traditionnelle nigériane, de jazz, de highlife, de funk, et de chant[1], accompagné de percussions et de styles vocaux, popularisé en Afrique dans les années 1970. Le genre est fondé par le multi-instrumentiste nigérian et leader Fela Kuti, qui lui en attribue le nom[1]. Il utilise pour la première fois le terme d'« afrobeat » à son retour d'une tournée américaine avec son groupe Nigeria '70 (anciennement Koola Lobitos).
",https://fr.wikipedia.org/wiki/Afrobeat
Afropop,"L'afropop — aussi orthographié afro-pop et afro pop — est un terme parfois utilisé pour désigner la musique contemporaine de la pop africaine. Caractérisée par un mélange des danses et des sons entre la musique pop américaine et la musique africaine. Le terme ne se réfère pas à un style ou à un son musical spécifique, mais il est utilisé comme un terme général pour désigner la musique populaire africaine.
",https://fr.wikipedia.org/wiki/Afropop
Afrotrap,"L'afro trap — aussi orthographié afrotrap et afro-trap — est un genre musical mêlant trap et divers éléments issus des musiques africaines. L'afro trap émerge au milieu des années 2010 en France sous l'impulsion du rappeur MHD, précurseur du genre.
",https://fr.wikipedia.org/wiki/Afrotrap
Aguinaldo,Description non disponible,https://fr.wikipedia.org/w/index.php?title=Aguinaldo_(musique)&action=edit&redlink=1
Allaoui,"L'Allaoui ou laâlaoui est une musique et danse traditionnelle guerrière connue de l'ouest algérien spécifique de la région de Tlemcen[2],[3].
",https://fr.wikipedia.org/wiki/Allaoui
Amapiano,"L'amapiano (du zoulou : les pianos[1]) est un style de musique house apparu en Afrique du Sud[2] en 2012. L'amapiano est un hybride de deep house, de jazz et de musique lounge caractérisé par des synthés, des nappes aérées, de larges lignes de basse percussives [3], de claviers inspirés du gospel et de percussions traditionnelles[4]. Il se distingue par des mélodies de piano aiguës, des lignes de basse Kwaito, des rythmes house sud-africains des années 90 à faible tempo et des percussions d'un autre sous-genre local de house connu sous le nom de Bacardi[5].
",https://fr.wikipedia.org/wiki/Amapiano
Ambient,"L'ambient est un genre de musique, généralement électronique, dont les limites sont difficiles à définir. L'ambient évoque une qualité « atmosphérique », « visuelle »[2] ou « discrète »[3]. Un pionnier du genre, Brian Eno, explique que « la musique ambient doit être capable d'accommoder tous les niveaux d'intérêt sans forcer l'auditeur à écouter ; elle doit être discrète et intéressante[4]. »
",https://fr.wikipedia.org/wiki/Ambient
Ambient house,"L'ambient house est un genre de musique électronique ayant émergé à la fin des années 1980 au Royaume-Uni, mélangeant éléments sonore d'acid house et d'ambient. Les chansons du genre ambient présentent typiquement un pattern en 4/4 et d'échantillonnage vocal intégré dans un style « atmospherique »[1].
",https://fr.wikipedia.org/wiki/Ambient_house
Ambient jungle,"Le drum and bass est née de l'évolution de la musique Jungle. Elle est caractérisée par une empreinte plus prononcée du corps rythmique (le break beat) et harmonique soutenu par la ligne de basse. Dans ce champ là, dès 1995 s'est imposée l'ambient jungle comme courant à part entière. Elle est destinée aux dance floors des clubs est s'écoutait dès lors dans des clubs londoniens tels que le mythique The Blue Note.
",https://fr.wikipedia.org/wiki/Ambient_jungle
Ambient techno,"L’intelligent dance music (IDM) est un genre de musique électronique ayant émergé au début des années 1990. Il est originellement influencé par le développement de musique dance (EDM) underground comme la techno de Détroit et une variante de styles de breakbeat lancés au Royaume-Uni à cette même période[2],[3]. Les origines stylistiques de l'IDM reposent plus sur l'expérimentation individualiste plutôt que par l'ajout des caractéristiques musicales associées à des genres spécifiques de musique dance[4]. Les styles post-techno[5] lancés au début des années 1990 sont décrits sous les termes de « art techno »[6], « ambient techno », « intelligent techno »[7] et « electronica »[8]. Aux États-Unis, le terme d'electronica est souvent utilisé pour décrire un style de musique électronique downtempo ou downbeat/non-dance, mais également l'EDM.
",https://fr.wikipedia.org/wiki/Ambient_techno
Americana,"L’americana est défini comme un mélange de musique roots américaine et des traditions musicales qui ont fait l’histoire musicale américaine : folk, country, rhythm and blues, rock 'n' roll[1] et bluegrass. L’americana est souvent écrite alt-country ou alt.country.
",https://fr.wikipedia.org/wiki/Americana_(musique)
Anarcho-punk,"L’anarcho-punk est un courant musical, culturel et politique influencé par l'anarchisme et le mouvement punk. Le terme est souvent utilisé pour décrire des groupes faisant partie du mouvement anarcho-punk au Royaume-Uni à la fin des années 1970 et début 1980. Cependant, le terme est parfois également utilisé pour décrire de la musique punk ou rock au contenu lyrique anarchique, comme le crust punk, le d-beat, le punk folk, le punk hardcore, le garage punk ou le ska punk.
",https://fr.wikipedia.org/wiki/Anarcho-punk
Anti-folk,"L'anti-folk (ou antifolk) est un sous-genre musical du punk, qui mêle des éléments de punk rock et de musique folk américaine. Le mouvement a fait son apparition au milieu des années 1980 à New York.
",https://fr.wikipedia.org/wiki/Anti-folk
Apala,"L'apala est un genre musical yoruba populaire notamment au Nigeria[1].
",https://fr.wikipedia.org/wiki/Apala
Arena rock,"L'arena rock, parfois appelé stadium rock[1], anthem rock[2], ou corporate rock[3], industry rock) est une forme de rock jouée dans de très vastes lieux comme des stades souvent dans le cadre de tournées. Les groupes spécialisés dans cette forme musicale viennent le plus souvent du milieu du hard rock, du heavy metal ou du rock progressif mais choisissent une approche plus commerciale, formatée et proposant des morceaux de hard rock et des ballades dont les refrains peuvent être facilement repris par les spectateurs[4].
",https://fr.wikipedia.org/wiki/Arena_rock
Ars antiqua,"Ars antiqua, aussi appelé ars veterum ou ars vetus, est un terme utilisé par les musicologues modernes pour désigner la musique médiévale de l'Europe du Moyen Âge, entre 1170 et 1310 environ.
",https://fr.wikipedia.org/wiki/Ars_antiqua
Ars nova,"L'Ars nova est un courant de la musique médiévale occidentale, centré sur la France, et qui englobe une période comprise entre l'écriture du Roman de Fauvel (1310-1314) et la mort de Guillaume de Machaut (1377).
",https://fr.wikipedia.org/wiki/Ars_nova
Art punk,"L'art punk, ou avant punk, désigne un genre musical de punk rock et post-punk avec un penchant expérimental, ou en lien avec l'école d'art, la critique d'art, ou la musique d'avant-garde.
",https://fr.wikipedia.org/wiki/Art_punk
Art rock,"L'art rock est un sous-genre du rock ayant émergé à la fin des années 1960 inspiré de l'art music (Musique savante en anglais) (avant-gardiste et classique)[2]. Le premier usage du terme, selon le Merriam-Webster Online Dictionary, date de 1968[2]. L'art rock est une forme musicale qui « tentait d'aller au-delà des limites du rock and roll », et qui opte pour une approche expérimentale et conceptuelle[1]. L'art rock s'inspire de nombreux genres, notamment de la musique classique et du rock expérimental, des musiques psychédéliques, avant-gardistes, folk, de la pop baroque, et, par la suite, du jazz[3].
",https://fr.wikipedia.org/wiki/Art_rock
Ars subtilior,"L'ars subtilior (art plus subtil) est un style de la musique du Moyen Âge de la fin du XIVe siècle et du début du XVe siècle, située entre l'ars nova et la contenance angloise.
",https://fr.wikipedia.org/wiki/Ars_subtilior
Austropop,"L'Austropop est, depuis la fin des années 1960, un terme populaire désignant la musique pop ayant émergé en Autriche[1]. La musique pop dont les paroles sont en autrichien est habituellement appelée Austropop[2].
",https://fr.wikipedia.org/wiki/Austropop
Avant-funk,"L'avant-funk est un genre musical mêlant des éléments de funk à une mentalité avant-gardiste ou art rock[1]. Son émergence est située à la fin des années 1970, lorsque des groupes de post-punk commençaient à s'intéresser aux styles de danse africaine[2].
",https://fr.wikipedia.org/wiki/Avant-funk
Avant-garde jazz,"En musique, l'avant-garde jazz est un style d'improvisation qui mélange la musique expérimentale (d'avant-garde) et le jazz. Créé dans les années 1950, il s'est développé jusque dans les années 1960.
",https://fr.wikipedia.org/wiki/Avant-garde_jazz
Avant-prog,"L'avant-prog, une abréviation pour rock progressif avant-gardiste, est un genre musical ayant émergé à la fin des années 1970 pour différencier deux genres distincts de rock progressif : Rock in Opposition (RIO) et l'école de Canterbury[1].
",https://fr.wikipedia.org/wiki/Avant-prog
Avanthop,"Le hip-hop expérimental, ou abstract hip-hop, est un courant du hip-hop[1] se démarquant du reste de la scène rap par de nombreux aspects : thèmes très éloignés des préoccupations habituelles du hip-hop (faits de société, gangs, criminalité, politique, inégalités) et où l'on retrouve plus volontiers des paroles poétiques, abstraites, en général dénuées de tout message velléitaire et/ou engagé, mais chargées d'une substance se voulant éthérée, subtile, lyrique. Cependant la majorité des productions relevant du hip-hop expérimental sont complètement dénuées de paroles, auquel cas on désigne parfois ce sous-genre comme 'hip-hop instrumental. En effet, le genre musical est une totale mise en avant des DJ et Beat makers qui se détachent du côté lyrique pour produire une musique plus libre et plus riche[2].
",https://fr.wikipedia.org/wiki/Avanthop
Axé,"L'axé (prononciation portugaise du Brésil : [a'ʃɛ]) est une musique afro-brésilienne, originaire du Nordeste, symbole sacré du carnaval de Salvador de Bahia. Ce style est très rythmé, entraînant et joyeux.
",https://fr.wikipedia.org/wiki/Ax%C3%A9
Bachata,"La bachata est un rythme dansant originaire de République dominicaine. On peut le considérer comme un mélange de boléro (surtout, le boléro rythmique) avec des influences musicales d'origine africaine et d'autres styles comme le son cubain, le kompa haïtien, le merengue, le cha-cha-cha et le tango.
",https://fr.wikipedia.org/wiki/Bachata
Bachatango,"Le Bachatango est une danse née en 2006, à Turin, en Italie.
",https://fr.wikipedia.org/wiki/Bachatango
Baggy,"Le baggy est un genre musical ayant émergé à la fin des années 1980 au Royaume-Uni, plus précisément à Manchester, et populaire jusqu'au début des années 1990 avec comme figure de proue les Stone Roses. Il donne naissance plus tard à la britpop.
",https://fr.wikipedia.org/wiki/Baggy_(musique)
Baguala,"La baguala est un genre musical folklorique chanté, non chorégraphique, du nord-ouest de l'Argentine, typique de la province de Salta et d'origine pré-hispanique.
",https://fr.wikipedia.org/wiki/Baguala
Baião,"Le baião est un rythme de musique populaire et un genre de danse de la région Nordeste du Brésil.
",https://fr.wikipedia.org/wiki/Bai%C3%A3o_(musique)
Baila,"Le baila est un genre populaire de musique à danser au Sri Lanka. Il est l'héritage de l'influence portugaise et de l'importation d'esclaves noirs, les cafres. C'est une musique créole métissée avec des influences européennes et indiennes. Resté longtemps discret et folklorique, il a acquis récemment un nouveau statut populaire, en se teintant notamment de musique calypso.
",https://fr.wikipedia.org/wiki/Baila
Baile funk,"Le funk carioca, aussi appelé funk brasileño ou funky, — funk de favela ou baile funk dans le monde anglophone — est un genre de musique électronique ayant émergé dans les favelas de Rio de Janeiro, au Brésil. Malgré son nom, il est différent du funk originaire des États-Unis ou de la samba funk. En effet, à partir des années 1970, les bailes da pesada (danses dures), les danses noires, soul, shaft ou funk ont commencé à être organisées à Rio de Janeiro. Au fil du temps, les DJ ont commencé à rechercher d'autres rythmes de musique noire, mais le nom original est resté.
",https://fr.wikipedia.org/wiki/Baile_funk
Bakersfield sound,"Le Bakersfield sound était un genre de musique country développé dans le milieu des années 1950 à de Bakersfield, en Californie. Bakersfield sound était une réaction contre le Nashville sound, qui devenait populaire vers la fin des années 1950. ""Buck Owens and the Buckaroos"" et ""Merle Haggard and the Strangers"" sont les artistes les plus connus du Bakersfield sound. Bakersfield sound en termes d'argot est également connu comme ""Bakersfield shitkick.""
",https://fr.wikipedia.org/wiki/Bakersfield_sound
Balearic beat,"La Balearic beat, ou Balearic house, est un mélange éclectique de musique dance ayant initialement émergé au milieu des années 1980[1],[2]. Il est devenu plus tard le nom d'un style de musique électronique qui a été populaire dans le milieu des années 1990. La Balearic house est nommée pour sa popularité parmi les boîtes de nuit européennes mais également pour les raves de plage aux Baléares sur l'île d'Ibiza, une destination touristique populaire chez les jeunes britanniques[3]. Certaines compilations de musique de dance proviennent de la Balearic house.
",https://fr.wikipedia.org/wiki/Balearic_beat
Balearic trance,"La Balearic trance, Ibiza trance ou Balearic house, est un genre musical issu de la Balearic beat. Les premières compositions balearic trance peuvent être retracées quelques années après l'émergence du Balearic beat dans les années 1990[1].
",https://fr.wikipedia.org/wiki/Balearic_trance
Ballade,"Une ballade, au sens ancien, est un poème médiéval à forme fixe composé de trois couplets et d'une demi-strophe appelée « envoi », chacun étant terminé par un vers refrain, qui rappelle la forme chantée des origines. L'histoire de la poésie retient en particulier les ballades aux strophes carrées (le nombre de vers est égal au nombre de syllabes de chaque vers) de huit ou dix vers et aux thèmes très variés qu'ont composées des poètes comme Guillaume de Machaut, Eustache Deschamps (fin XIVe siècle), Christine de Pisan et François Villon (début et milieu du XVe siècle) ou encore Clément Marot au XVIe siècle, alors que la Pléiade rejette le genre de la ballade comme vieilli, privilégiant des formes nouvelles comme le sonnet ou l'ode.
",https://fr.wikipedia.org/wiki/Ballade
Ballet,"Le ballet est un genre dramatique dont l'action est figurée par des pantomimes et des danses. Ses origines remontent à la Renaissance italienne (XVe siècle). Primitivement développé dans les cours d'Italie, le ballet a reçu ses lettres de noblesse en France, puis en Russie, en tant que danse-spectacle.
",https://fr.wikipedia.org/wiki/Ballet
Baltimore club,"Le Baltimore club, également appelé Bmore club[2], Bmore house ou simplement Bmore[3], est un genre musical dérivé du breakbeat, du hip-hop et de la house. Le genre est lancé à Baltimore, aux États-Unis, à la fin des années 1980 par Luther Campbell des 2 Live Crew, Frank Ski, Big Tony (ou Miss Tony), Scottie B. et DJ Spen[4].
",https://fr.wikipedia.org/wiki/Baltimore_club
Bambuco,"Le bambuco est une musique traditionnelle colombienne originaire des Andes colombiennes.
",https://fr.wikipedia.org/wiki/Bambuco
Barbershop,Description non disponible,https://fr.wikipedia.org/wiki/Barbershop
